Event Log
   24263 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 9 exposes the followi...
   24262 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 8 exposes the followi...
   24261 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 7 exposes the followi...
   24260 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 6 exposes the followi...
   24259 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 5 exposes the followi...
   24258 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 4 exposes the followi...
   24257 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 3 exposes the followi...
   24256 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 2 exposes the followi...
   24255 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 1 exposes the followi...
   24254 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 0 exposes the followi...
   24253 May 11 15:29  Information Microsoft-Windows...           24 The description for Event ID '24' in Source 'Mi...
   24252 May 11 15:29  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24251 May 11 15:29  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24250 May 11 15:29  Information Microsoft-Windows...          172 The description for Event ID '172' in Source 'M...
   24249 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'npsvctrig' (10.0, 2025-01-0...
   24248 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'UCPD' (10.0, 2053-03-18T19:...
   24247 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'FileCrypt' (10.0, 2002-03-0...
   24246 May 11 15:29  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24245 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'WdFilter' (10.0, 1985-01-06...
   24244 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'Wof' (10.0, 2090-03-17T02:5...
   24243 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'FileInfo' (10.0, 2062-12-23...
   24242 May 11 15:29  Information Microsoft-Windows...           16 The iommu fault reporting has been initialized.   
   24241 May 11 15:29  Information Microsoft-Windows...           20 The description for Event ID '20' in Source 'Mi...
   24240 May 11 15:29  Information Microsoft-Windows...           30 The description for Event ID '30' in Source 'Mi...
   24239 May 11 15:29  Information Microsoft-Windows...           27 The description for Event ID '27' in Source 'Mi...
   24238 May 11 15:29  Information Microsoft-Windows...           25 The description for Event ID '25' in Source 'Mi...
   24237 May 11 15:29  Information Microsoft-Windows...          238 The description for Event ID '238' in Source 'M...
   24236 May 11 15:29  Information Microsoft-Windows...           20 The description for Event ID '20' in Source 'Mi...
   24235 May 11 15:29  Information Microsoft-Windows...           32 The description for Event ID '32' in Source 'Mi...
